Registry,Project Type Category,Vintage Year,Total Credits Issued,total_credits_retired,retirement_rate
ACR,Afforestation/Reforestation,2009.0,1119,4307211,37.5
ACR,Afforestation/Reforestation,2010.0,42898,4307211,37.5
ACR,Afforestation/Reforestation,2011.0,3706128,4307211,37.5
ACR,Afforestation/Reforestation,2012.0,369621,4307211,37.5
ACR,Afforestation/Reforestation,2013.0,477297,4307211,37.5
ACR,Afforestation/Reforestation,2014.0,182626,4307211,37.5
ACR,Afforestation/Reforestation,2015.0,1054928,4307211,37.5
ACR,Afforestation/Reforestation,2016.0,165976,4307211,37.5
ACR,Afforestation/Reforestation,2017.0,1107890,4307211,37.5
ACR,Afforestation/Reforestation,2018.0,308550,4307211,37.5
ACR,Afforestation/Reforestation,2019.0,1364185,4307211,37.5
ACR,Afforestation/Reforestation,2020.0,1179164,4307211,37.5
ACR,Afforestation/Reforestation,2021.0,804970,4307211,37.5
ACR,Afforestation/Reforestation,2022.0,716959,4307211,37.5
ACR,Soil & Livestock,2011.0,2,21813,1.2
ACR,Soil & Livestock,2013.0,19183,21813,1.2
ACR,Soil & Livestock,2014.0,24558,21813,1.2
ACR,Soil & Livestock,2015.0,237423,21813,1.2
ACR,Soil & Livestock,2016.0,270942,21813,1.2
ACR,Soil & Livestock,2017.0,314532,21813,1.2
ACR,Soil & Livestock,2018.0,288967,21813,1.2
ACR,Soil & Livestock,2019.0,298295,21813,1.2
ACR,Soil & Livestock,2020.0,190533,21813,1.2
ACR,Soil & Livestock,2021.0,99693,21813,1.2
ACR,Soil & Livestock,2022.0,44778,21813,1.2
ACR,Soil & Livestock,2023.0,40128,21813,1.2
ACR,Soil & Livestock,2024.0,23141,21813,1.2
ACR,Bioenergy,2005.0,316,127,11.2
ACR,Bioenergy,2006.0,352,127,11.2
ACR,Bioenergy,2007.0,342,127,11.2
ACR,Bioenergy,2008.0,128,127,11.2
ACR,Electric vehicles,2003.0,3832,840206,88.0
ACR,Electric vehicles,2004.0,5689,840206,88.0
ACR,Electric vehicles,2005.0,13528,840206,88.0
ACR,Electric vehicles,2006.0,52424,840206,88.0
ACR,Electric vehicles,2007.0,138386,840206,88.0
ACR,Electric vehicles,2008.0,163974,840206,88.0
ACR,Electric vehicles,2009.0,112296,840206,88.0
ACR,Electric vehicles,2010.0,63490,840206,88.0
ACR,Electric vehicles,2011.0,80065,840206,88.0
ACR,Electric vehicles,2012.0,91789,840206,88.0
ACR,Electric vehicles,2013.0,104540,840206,88.0
ACR,Electric vehicles,2014.0,104696,840206,88.0
ACR,Electric vehicles,2015.0,6945,840206,88.0
ACR,Electric vehicles,2016.0,5597,840206,88.0
ACR,Electric vehicles,2017.0,3528,840206,88.0
ACR,Electric vehicles,2018.0,2565,840206,88.0
ACR,Electric vehicles,2019.0,1857,840206,88.0
ACR,Forest management,2011.0,16032,12420839,6.4
ACR,Forest management,2012.0,4472885,12420839,6.4
ACR,Forest management,2013.0,1190083,12420839,6.4
ACR,Forest management,2014.0,2419251,12420839,6.4
ACR,Forest management,2015.0,16294597,12420839,6.4
ACR,Forest management,2016.0,31791840,12420839,6.4
ACR,Forest management,2017.0,28178218,12420839,6.4
ACR,Forest management,2018.0,14841681,12420839,6.4
ACR,Forest management,2019.0,19376347,12420839,6.4
ACR,Forest management,2020.0,13251185,12420839,6.4
ACR,Forest management,2021.0,14907749,12420839,6.4
ACR,Forest management,2022.0,16353828,12420839,6.4
ACR,Forest management,2023.0,17143796,12420839,6.4
ACR,Forest management,2024.0,13443770,12420839,6.4
ACR,Forest management,2025.0,685284,12420839,6.4
ACR,Fossil gas leaks,2014.0,280667,715,0.0
ACR,Fossil gas leaks,2015.0,490301,715,0.0
ACR,Fossil gas leaks,2016.0,504479,715,0.0
ACR,Fossil gas leaks,2017.0,664696,715,0.0
ACR,Fossil gas leaks,2018.0,677134,715,0.0
ACR,Fossil gas leaks,2019.0,661055,715,0.0
ACR,Fossil gas leaks,2020.0,637905,715,0.0
ACR,Fossil gas leaks,2021.0,1317563,715,0.0
ACR,Fossil gas leaks,2022.0,2005210,715,0.0
ACR,Fossil gas leaks,2023.0,3122394,715,0.0
ACR,Fossil gas leaks,2024.0,3721981,715,0.0
ACR,Fossil gas leaks,2025.0,1303517,715,0.0
ACR,Heat recovery,2003.0,135250,2168,0.5
ACR,Heat recovery,2004.0,164750,2168,0.5
ACR,Heat recovery,2005.0,139035,2168,0.5
ACR,Industrial efficiency,2003.0,1898382,20614129,19.8
ACR,Industrial efficiency,2004.0,3004613,20614129,19.8
ACR,Industrial efficiency,2005.0,3081011,20614129,19.8
ACR,Industrial efficiency,2008.0,319,20614129,19.8
ACR,Industrial efficiency,2009.0,61523,20614129,19.8
ACR,Industrial efficiency,2010.0,97226,20614129,19.8
ACR,Industrial efficiency,2011.0,94841,20614129,19.8
ACR,Industrial efficiency,2012.0,414463,20614129,19.8
ACR,Industrial efficiency,2013.0,955174,20614129,19.8
ACR,Industrial efficiency,2014.0,1039469,20614129,19.8
ACR,Industrial efficiency,2015.0,1222853,20614129,19.8
ACR,Industrial efficiency,2016.0,2059974,20614129,19.8
ACR,Industrial efficiency,2017.0,2084927,20614129,19.8
ACR,Industrial efficiency,2018.0,2554864,20614129,19.8
ACR,Industrial efficiency,2019.0,12056982,20614129,19.8
ACR,Industrial efficiency,2020.0,16360943,20614129,19.8
ACR,Industrial efficiency,2021.0,13611270,20614129,19.8
ACR,Industrial efficiency,2022.0,13441893,20614129,19.8
ACR,Industrial efficiency,2023.0,17416015,20614129,19.8
ACR,Industrial efficiency,2024.0,9351552,20614129,19.8
ACR,Industrial efficiency,2025.0,3380744,20614129,19.8
ACR,Landfill gas,1998.0,48826,2044368,43.6
ACR,Landfill gas,1999.0,74895,2044368,43.6
ACR,Landfill gas,2000.0,114507,2044368,43.6
ACR,Landfill gas,2001.0,114478,2044368,43.6
ACR,Landfill gas,2002.0,110796,2044368,43.6
ACR,Landfill gas,2003.0,309610,2044368,43.6
ACR,Landfill gas,2004.0,320249,2044368,43.6
ACR,Landfill gas,2005.0,358764,2044368,43.6
ACR,Landfill gas,2006.0,969426,2044368,43.6
ACR,Landfill gas,2007.0,727364,2044368,43.6
ACR,Landfill gas,2008.0,244983,2044368,43.6
ACR,Landfill gas,2009.0,108593,2044368,43.6
ACR,Landfill gas,2010.0,128923,2044368,43.6
ACR,Landfill gas,2011.0,40121,2044368,43.6
ACR,Landfill gas,2018.0,36604,2044368,43.6
ACR,Landfill gas,2019.0,50086,2044368,43.6
ACR,Landfill gas,2020.0,62370,2044368,43.6
ACR,Landfill gas,2021.0,133689,2044368,43.6
ACR,Landfill gas,2022.0,188689,2044368,43.6
ACR,Landfill gas,2023.0,291359,2044368,43.6
ACR,Landfill gas,2024.0,254243,2044368,43.6
ACR,Mixed renewables,2004.0,5,491681,24.5
ACR,Mixed renewables,2005.0,491,491681,24.5
ACR,Mixed renewables,2006.0,1638,491681,24.5
ACR,Mixed renewables,2007.0,1948,491681,24.5
ACR,Mixed renewables,2009.0,24245,491681,24.5
ACR,Mixed renewables,2010.0,132737,491681,24.5
ACR,Mixed renewables,2011.0,91970,491681,24.5
ACR,Mixed renewables,2012.0,102825,491681,24.5
ACR,Mixed renewables,2013.0,434180,491681,24.5
ACR,Mixed renewables,2014.0,141643,491681,24.5
ACR,Mixed renewables,2015.0,155810,491681,24.5
ACR,Mixed renewables,2016.0,258088,491681,24.5
ACR,Mixed renewables,2017.0,133306,491681,24.5
ACR,Mixed renewables,2018.0,195071,491681,24.5
ACR,Mixed renewables,2019.0,189339,491681,24.5
ACR,Mixed renewables,2020.0,84960,491681,24.5
ACR,Mixed renewables,2021.0,61672,491681,24.5
ACR,Nitric acid,2001.0,125000,0,0.0
ACR,Oil Field Gas Recovery,2000.0,991518,8874535,32.6
ACR,Oil Field Gas Recovery,2001.0,718342,8874535,32.6
ACR,Oil Field Gas Recovery,2002.0,736816,8874535,32.6
ACR,Oil Field Gas Recovery,2003.0,1322814,8874535,32.6
ACR,Oil Field Gas Recovery,2004.0,2739431,8874535,32.6
ACR,Oil Field Gas Recovery,2005.0,4129065,8874535,32.6
ACR,Oil Field Gas Recovery,2006.0,3281336,8874535,32.6
ACR,Oil Field Gas Recovery,2007.0,4372382,8874535,32.6
ACR,Oil Field Gas Recovery,2008.0,3528103,8874535,32.6
ACR,Oil Field Gas Recovery,2009.0,109153,8874535,32.6
ACR,Oil Field Gas Recovery,2010.0,116108,8874535,32.6
ACR,Oil Field Gas Recovery,2011.0,105596,8874535,32.6
ACR,Oil Field Gas Recovery,2012.0,92762,8874535,32.6
ACR,Oil Field Gas Recovery,2013.0,84182,8874535,32.6
ACR,Oil Field Gas Recovery,2023.0,2059142,8874535,32.6
ACR,Oil Field Gas Recovery,2024.0,2396824,8874535,32.6
ACR,Oil Field Gas Recovery,2025.0,442217,8874535,32.6
ACR,Reforestation and ecosystem restoration,2011.0,170,0,0.0
ACR,Reforestation and ecosystem restoration,2012.0,683,0,0.0
ACR,Reforestation and ecosystem restoration,2014.0,5316,0,0.0
ACR,Reforestation and ecosystem restoration,2015.0,13713,0,0.0
ACR,Reforestation and ecosystem restoration,2016.0,12171,0,0.0
ACR,Reforestation and ecosystem restoration,2017.0,11233,0,0.0
ACR,Reforestation and ecosystem restoration,2018.0,16266,0,0.0
ACR,Rewilding,2010.0,13891,154859,93.2
ACR,Rewilding,2011.0,15370,154859,93.2
ACR,Rewilding,2012.0,20618,154859,93.2
ACR,Rewilding,2013.0,14795,154859,93.2
ACR,Rewilding,2014.0,17243,154859,93.2
ACR,Rewilding,2015.0,17587,154859,93.2
ACR,Rewilding,2016.0,17782,154859,93.2
ACR,Rewilding,2017.0,16809,154859,93.2
ACR,Rewilding,2018.0,16244,154859,93.2
ACR,Rewilding,2019.0,15858,154859,93.2
ACR,Rice cultivation,2012.0,7,597,100.0
ACR,Rice cultivation,2013.0,226,597,100.0
ACR,Rice cultivation,2014.0,170,597,100.0
ACR,Rice cultivation,2015.0,194,597,100.0
ACR,Waste to energy,2003.0,8072,1733101,68.9
ACR,Waste to energy,2004.0,5848,1733101,68.9
ACR,Waste to energy,2005.0,4409,1733101,68.9
ACR,Waste to energy,2006.0,3632,1733101,68.9
ACR,Waste to energy,2007.0,7998,1733101,68.9
ACR,Waste to energy,2008.0,13210,1733101,68.9
ACR,Waste to energy,2009.0,1033,1733101,68.9
ACR,Waste to energy,2010.0,170626,1733101,68.9
ACR,Waste to energy,2011.0,409787,1733101,68.9
ACR,Waste to energy,2012.0,502389,1733101,68.9
ACR,Waste to energy,2013.0,639196,1733101,68.9
ACR,Waste to energy,2014.0,278098,1733101,68.9
ACR,Waste to energy,2015.0,470530,1733101,68.9
ACR,Wastewater treatment,2008.0,100000,11295,10.1
ACR,Wastewater treatment,2019.0,11295,11295,10.1
Gold Standard,Afforestation/Reforestation,2008.0,10,365607,44.2
Gold Standard,Afforestation/Reforestation,2009.0,250,365607,44.2
Gold Standard,Afforestation/Reforestation,2010.0,652,365607,44.2
Gold Standard,Afforestation/Reforestation,2011.0,26504,365607,44.2
Gold Standard,Afforestation/Reforestation,2012.0,41837,365607,44.2
Gold Standard,Afforestation/Reforestation,2013.0,50684,365607,44.2
Gold Standard,Afforestation/Reforestation,2014.0,57911,365607,44.2
Gold Standard,Afforestation/Reforestation,2015.0,57469,365607,44.2
Gold Standard,Afforestation/Reforestation,2016.0,60530,365607,44.2
Gold Standard,Afforestation/Reforestation,2017.0,33761,365607,44.2
Gold Standard,Afforestation/Reforestation,2018.0,32265,365607,44.2
Gold Standard,Afforestation/Reforestation,2019.0,38833,365607,44.2
Gold Standard,Afforestation/Reforestation,2020.0,36103,365607,44.2
Gold Standard,Afforestation/Reforestation,2021.0,30826,365607,44.2
Gold Standard,Afforestation/Reforestation,2022.0,24200,365607,44.2
Gold Standard,Afforestation/Reforestation,2023.0,18217,365607,44.2
Gold Standard,Afforestation/Reforestation,2024.0,20668,365607,44.2
Gold Standard,Afforestation/Reforestation,2025.0,11585,365607,44.2
Gold Standard,Afforestation/Reforestation,2026.0,32218,365607,44.2
Gold Standard,Afforestation/Reforestation,2027.0,73564,365607,44.2
Gold Standard,Afforestation/Reforestation,2028.0,72256,365607,44.2
Gold Standard,Afforestation/Reforestation,2029.0,70686,365607,44.2
Gold Standard,Afforestation/Reforestation,2030.0,802,365607,44.2
Gold Standard,Afforestation/Reforestation,2031.0,512,365607,44.2
Gold Standard,Afforestation/Reforestation,2032.0,473,365607,44.2
Gold Standard,Afforestation/Reforestation,2033.0,425,365607,44.2
Gold Standard,Afforestation/Reforestation,2034.0,451,365607,44.2
Gold Standard,Afforestation/Reforestation,2035.0,474,365607,44.2
Gold Standard,Afforestation/Reforestation,2036.0,507,365607,44.2
Gold Standard,Afforestation/Reforestation,2037.0,2090,365607,44.2
Gold Standard,Afforestation/Reforestation,2038.0,2052,365607,44.2
Gold Standard,Afforestation/Reforestation,2039.0,3446,365607,44.2
Gold Standard,Afforestation/Reforestation,2040.0,3356,365607,44.2
Gold Standard,Afforestation/Reforestation,2041.0,3216,365607,44.2
Gold Standard,Afforestation/Reforestation,2042.0,264,365607,44.2
Gold Standard,Afforestation/Reforestation,2043.0,1938,365607,44.2
Gold Standard,Afforestation/Reforestation,2044.0,1526,365607,44.2
Gold Standard,Afforestation/Reforestation,2045.0,2897,365607,44.2
Gold Standard,Afforestation/Reforestation,2046.0,2903,365607,44.2
Gold Standard,Afforestation/Reforestation,2047.0,2909,365607,44.2
Gold Standard,Afforestation/Reforestation,2048.0,2915,365607,44.2
Gold Standard,Afforestation/Reforestation,2049.0,2920,365607,44.2
