Methodology Code,Registry,Methodology Name,Project Type Category
,ACR,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Forest management
,ACR,ARB Compliance Offset Protocol: Destruction of U.S. Ozone Depleting Substances Banks,Industrial efficiency
,ACR,ECY Compliance Offset Protocol: Ozone Depleting Substances Projects,Industrial efficiency
,ACR,Destruction of Ozone Depleting Substances (ODS) from International Sources,Industrial efficiency
,ACR,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Industrial efficiency
,ACR,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Industrial efficiency
,ACR,Advanced Refrigeration Systems,Industrial efficiency
,ACR,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Industrial efficiency
,ACR,ARB Compliance Offset Protocol: Mine Methane Capture Projects,Fossil gas leaks
,ACR,Emission reductions through industrial gas substitution,Industrial efficiency
,ACR,ARB Compliance Offset Protocol: Capturing and Destroying Methane from Manure Management Systems,Soil & Livestock
,ACR,Plugging Orphan Oil and Gas Wells in the U.S. and Canada,Oil Field Gas Recovery
,ACR,Improved Forest Management (IFM) on Canadian Forestlands,Forest management
,ACR,ARB Compliance Offset Protocol: U.S. Forest Projects,Forest management
,ACR,Landfill Gas Destruction and Beneficial Use Projects,Landfill gas
,ACR,AR-ACM0001 Afforestation and Reforestation of Degraded Land,Afforestation/Reforestation
,ACR,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Landfill gas
,ACR,Fuel switching from coal and/or petroleum fuels to natural gas in existing Power Plant for electricity generation,Bioenergy
,ACR,Capturing and Destroying Methane from Coal and Trona Mines in North America,Fossil gas leaks
,ACR,AMS-III.Y: Methane avoidance through separation of solids from wastewater or manure treatment systems,Wastewater treatment
,ACR,ECY Compliance Offset Protocol: U.S. Forest Projects,Forest management
,ACR,Conversion of High-Bleed Pneumatic Controllers in Oil and Natural Gas Systems,Oil Field Gas Recovery
,ACR,N2O Emission Reductions through Reduced Use of Fertilizer on Agricultural Crops,Soil & Livestock
,ACR,Climate Action Reserve U.S. Ozone Depleting Substances Project Protocol,Industrial efficiency
,ACR,Climate Action Reserve Forest Project Protocol,Forest management
,ACR,Emission Reductions in Rice Management Systems,Rice cultivation
,ACR,Active Conservation and Sustainable Management on U.S. Forestlands,Forest management
,ACR,Afforestation and Reforestation of Degraded Lands,Afforestation/Reforestation
,ACR,AMS-III.BC.: Emissions Reductions through Improved Efficiency of Vehicle Fleet,Electric vehicles
,ACR,Anaerobic Digestion,Waste to energy
,ACR,"Monitoring, Reporting and Verification Protocol for Cogeneration",Heat recovery
,ACR,Improved Forest Management (IFM) on Small Non-Industrial Private Forestlands,Forest management
,ACR,AMS-I.C.: Thermal energy production with or without electricity,Mixed renewables
