Registry,Project Type Category,Vintage Year,Project Count,project_ids,total_credits_issued,total_credits_retired,total_credits_remaining,retirement_rate
ACR,Afforestation/Reforestation,2009,1,"[""ACR114""]",1119,1004,115,89.7
ACR,Afforestation/Reforestation,2010,1,"[""ACR114""]",42898,2343,40555,5.5
ACR,Afforestation/Reforestation,2011,3,"[""ACR105"", ""ACR114"", ""ACR115""]",3706128,5750,3700378,0.2
ACR,Afforestation/Reforestation,2012,1,"[""ACR114""]",369621,322088,47533,87.1
ACR,Afforestation/Reforestation,2013,1,"[""ACR114""]",477297,421273,56024,88.3
ACR,Afforestation/Reforestation,2014,1,"[""ACR114""]",182626,182626,0,100.0
ACR,Afforestation/Reforestation,2015,1,"[""ACR114""]",1054928,947231,107697,89.8
ACR,Afforestation/Reforestation,2016,1,"[""ACR114""]",165976,67675,98301,40.8
ACR,Afforestation/Reforestation,2017,1,"[""ACR114""]",1107890,992889,115001,89.6
ACR,Afforestation/Reforestation,2018,1,"[""ACR114""]",308550,56802,251748,18.4
ACR,Afforestation/Reforestation,2019,1,"[""ACR114""]",1364185,794802,569383,58.3
ACR,Afforestation/Reforestation,2020,1,"[""ACR114""]",1179164,451975,727189,38.3
ACR,Afforestation/Reforestation,2021,1,"[""ACR114""]",804970,23681,781289,2.9
ACR,Afforestation/Reforestation,2022,1,"[""ACR114""]",716959,77278,639681,10.8
ACR,Bioenergy,2005,1,"[""ACR107""]",316,127,189,40.2
ACR,Bioenergy,2006,1,"[""ACR107""]",352,0,352,0.0
ACR,Bioenergy,2007,1,"[""ACR107""]",342,0,342,0.0
ACR,Bioenergy,2008,1,"[""ACR107""]",128,0,128,0.0
ACR,Electric vehicles,2003,3,"[""ACR132"", ""ACR136"", ""ACR156""]",3832,3832,0,100.0
ACR,Electric vehicles,2004,7,"[""ACR130"", ""ACR132"", ""ACR136"", ""ACR147"", ""ACR149"", ""ACR155"", ""ACR156""]",5689,5689,0,100.0
ACR,Electric vehicles,2005,10,"[""ACR130"", ""ACR132"", ""ACR133"", ""ACR136"", ""ACR141"", ""ACR147"", ""ACR149"", ""ACR155"", ""ACR156"", ""ACR157""]",13528,13428,100,99.3
